"uniqueID","docDate","caseName","Appeal_Dockets","Full_Cite","PrecedentialStatus","enBanc","url","DispGeneral","Orig_Trib_Dockets"
15223,"2015-03-17","IN RE: HITACHI METALS, LTD. [OPINION]","2014-01689","603 F. App'x 976","Nonprecedential","No","","Affirmed",""
15224,"2015-03-20","ORACLE AMERICA, INC. v. GOOGLE, INC. [OPINION]","2014-01351","606 F. App'x 990","Nonprecedential","No","","Affirmed-in-part",""
15225,"2015-03-25","KENNAMETAL, INC. v. INGERSOLL CUTTING TOOL COMPANY [OPINION]","2014-01350","780 F.3d 1376","Precedential","No","","Affirmed",""
15226,"2015-03-26","IN RE: BOOKSTAFF [OPINION]","2014-01463","606 F. App'x 996","Nonprecedential","No","","Reversed",""
15227,"2015-04-08","SPX CORPORATION v. PENTAIR SUDMO GMBH [RULE 36 JUDGMENT]","2014-01716","599 F. App'x 957","Nonprecedential","No","","Affirmed",""
15228,"2015-04-08","HELFERICH PATENT LICENSING v. CBS INTERACTIVE [RULE 36 JUDGMENT]","2014-01556","599 F. App'x 955","Nonprecedential","No","","Affirmed",""
15229,"2015-04-10","IN RE: HICKEY [RULE 36 JUDGMENT]","2014-01682","598 F. App'x 781","Nonprecedential","No","","Affirmed",""
15231,"2015-04-13","IN RE: 55 BRAKE LLC [OPINION]","2014-01554","608 F. App'x 942","Nonprecedential","No","","Affirmed",""
15232,"2015-04-13","MOBILE SCANNING TECHNOLOGIES v. MOTOROLA SOLUTIONS, INC. [RULE 36 JUDGMENT]","2014-01720","598 F. App'x 782","Nonprecedential","No","","Affirmed",""
15233,"2015-04-14","MEDTRONIC INC. v. NUVASIVE, INC. [RULE 36 JUDGMENT]","2014-01722","601 F. App'x 988","Nonprecedential","No","","Affirmed",""
15234,"2015-04-14","IN RE: INTERCARRIER COMMUNICATIONS [RULE 36 JUDGMENT]","2014-01680","600 F. App'x 772","Nonprecedential","No","","Affirmed",""
15235,"2015-04-14","IN RE: EIDOS COMMUNICATIONS, LLC [RULE 36 JUDGMENT]","2014-01658","601 F. App'x 989","Nonprecedential","No","","Affirmed",""
15236,"2015-04-14","IN RE: EIDOS COMMUNICATIONS, LLC [RULE 36 JUDGMENT]","2014-01660","599 F. App'x 385","Nonprecedential","No","","Affirmed",""
15237,"2015-04-14","LUV N' CARE LTD v. MUNCHKIN, INC. [RULE 36 JUDGMENT]","2014-01653","599 F. App'x 958","Nonprecedential","No","","Affirmed",""
15238,"2015-04-16","EMCORE CORPORATION v. NICHIA CORPORATION [RULE 36 JUDGMENT]","2014-01508","599 F. App'x 959","Nonprecedential","No","","Affirmed",""
15240,"2015-04-17","BELDEN INC. v. BERK-TEK LLC [OPINION]","2014-01676;2014-01677","610 F. App'x 997","Nonprecedential","No","","Affirmed",""
15241,"2015-04-17","SAMSUNG ELECTRONICS CORP. v. CCP SYSTEMS AG [RULE 36 JUDGMENT]","2014-01401;2014-01402","599 F. App'x 960","Nonprecedential","No","","Affirmed",""
15242,"2015-04-17","IN RE: INTERVAL LICENSING LLC [RULE 36 JUDGMENT]","2014-01775","608 F. App'x 945","Nonprecedential","No","","Affirmed",""
15244,"2015-04-17","IN RE: HARDY [RULE 36 JUDGMENT]","2014-01577","600 F. App'x 773","Nonprecedential","No","","Affirmed",""
15248,"2015-05-06","WONDERLAND NURSERY GOODS CO. v. THORLEY INDUSTRIES LLC [RULE 36 JUDGMENT]","2015-01034","601 F. App'x 991","Nonprecedential","No","","Affirmed",""
15249,"2015-05-07","IN RE: MAGNA ELECTRONICS, INC. [OPINION]","2014-01798;2014-01801","611 F. App'x 969","Nonprecedential","No","","Affirmed",""
15250,"2015-05-07","INOVA LABS, INC. v. INOGEN, INC. [RULE 36 JUDGMENT]","2015-01067","601 F. App'x 992","Nonprecedential","No","","Affirmed",""
15251,"2015-05-11","TADAYON v. SAUCON TECHNOLOGIES [OPINION]","2014-01804","611 F. App'x 983","Nonprecedential","No","","Affirmed",""
15252,"2015-05-12","IN RE MEDIA QUEUE, LLC [RULE 36 JUDGMENT]","2014-01794","603 F. App'x 1004","Nonprecedential","No","","Affirmed",""
15253,"2015-05-12","IN RE GROSS [RULE 36 JUDGMENT]","2014-01429","603 F. App'x 1006","Nonprecedential","No","","Affirmed",""
15254,"2015-05-12","IN RE GROSS [RULE 36 JUDGMENT]","2014-01474","603 F. App'x 1004","Nonprecedential","No","","Affirmed",""
15255,"2015-05-12","WRIGHT MANUFACTURING, INC. v. THE TORO COMPANY [RULE 36 JUDGMENT]","2014-01534;2014-01558","602 F. App'x 834","Nonprecedential","No","","Affirmed",""
15257,"2015-05-20","IN RE HOLNESS [OPINION]","2014-01824","612 F. App'x 999","Nonprecedential","No","","Affirmed",""
15261,"2015-06-05","IN RE CONTINENTAL AUTOMOTIVE SYSTEMS [RULE 36 JUDGMENT]","2014-01573","607 F. App'x 981","Nonprecedential","No","","Affirmed",""
15262,"2015-06-05","REXNORD INDUSTRIES, LLC v. HABASIT BELTING INCORPORATED [RULE 36 JUDGMENT]","2014-01858;2014-01859","607 F. App'x 982","Nonprecedential","No","","Affirmed",""
15263,"2015-06-05","BERNINA INTERNATIONAL AG v. HANDI QUILTER, INC. [RULE 36 JUDGMENT]","2015-01229","607 F. App'x 983","Nonprecedential","No","","Affirmed",""
15264,"2015-06-08","NESTE OIL OYJ v. REG SYNTHETIC FUELS, LLC [RULE 36 JUDGMENT]","2015-01075","607 F. App'x 988","Nonprecedential","No","","Affirmed",""
15265,"2015-06-08","IN RE GEE [OPINION]","2015-01145","614 F. App'x 495","Nonprecedential","No","","Affirmed",""
15266,"2015-06-09","PROLITEC, INC. v. SCENTAIR TECHNOLOGIES, INC. [RULE 36 JUDGMENT]","2015-01017","607 F. App'x 992","Nonprecedential","No","","Affirmed",""
15267,"2015-06-10","ACME SCALE COMPANY, INC. v. LTS SCALE COMPANY, LLC [OPINION]","2014-01721","615 F. App'x 673","Nonprecedential","No","","Reversed",""
15268,"2015-06-15","BENECKE-KALIKO AG v. THE HAARTZ CORPORATION [RULE 36 JUDGMENT]","2015-01110","607 F. App'x 997","Nonprecedential","No","","Affirmed",""
15269,"2015-06-16","GTNX, INC. v. INTTRA, INC. [OPINION]","2015-01349;2015-01350;2015-01352;2015-01353","789 F.3d 1309","Precedential","No","","Dismissed",""
15270,"2015-06-16","MICROSOFT CORPORATION v. PROXYCONN, INC. [OPINION]","2014-01542;2014-01543","789 F.3d 1292","Precedential","No","","Affirmed-in-part",""
15272,"2015-07-01","INRE: WEBB [RULE 36 JUDGMENT]","2014-01652","609 F. App'x 643","Nonprecedential","No","","Affirmed",""
15273,"2015-07-08","IN RE CUOZZO SPEED TECHNOLOGIES, LLC [OPINION]","2014-01301","793 F.3d 1268","Precedential","No","","Affirmed",""
15275,"2015-07-09","VERSATA DEVELOPMENT GROUP v. SAP AMERICA, INC. [OPINION]","2014-01194","793 F.3d 1306","Precedential","No","","Affirmed",""
15276,"2015-07-10","IN RE GLYCOBIOSCIENCES, INC. [RULE 36 JUDGMENT]","2014-01793","606 F. App'x 584","Nonprecedential","No","","Affirmed",""
15277,"2015-07-17","TRUSTEES OF COLUMBIA UNIV. v. ILLUMINA, INC. [OPINION]","2014-01547","620 F. App'x 916","Nonprecedential","No","","Affirmed",""
15278,"2015-07-17","AIRBUS S.A.S. v. FIREPASS CORPORATION [OPINION]","2014-01808","793 F.3d 1376","Precedential","No","","Vacated",""
15281,"2015-08-07","IN RE: KARPF [RULE 36 JUDGMENT]","2014-01773","611 F. App'x 1005","Nonprecedential","No","","Affirmed",""
15282,"2015-08-07","RETIREMENT CAPITAL ACCESS v. U.S. BANCORP [RULE 36 JUDGMENT]","2015-01039","611 F. App'x 1007","Nonprecedential","No","","Affirmed",""
15283,"2015-08-10","PERSONAL WEB TECHNOLOGIES, LLC v. EMC CORPORATION [RULE 36 JUDGMENT]","2014-01602;2014-01603;2014-01604;2014-01605;2014-01606;2014-01607","612 F. App'x 611","Nonprecedential","No","","Affirmed",""
15284,"2015-08-10","AVAYA INC. v. NETWORK-1 TECHNOLOGIES, INC. [RULE 36 JUDGMENT]","2014-01782;2014-01783;2014-01784;2014-01785","612 F. App'x 613","Nonprecedential","No","","Affirmed",""
15285,"2015-08-10","CONVATEC TECHNOLOGIES INC. v. SMITH & NEPHEW, INC. [RULE 36 JUDGMENT]","2014-01822;2014-01823","612 F. App'x 612","Nonprecedential","No","","Affirmed",""
15286,"2015-08-11","SCHOTT GEMTRON CORPORATION v. SSW HOLDING COMPANY, INC. [RULE 36 JUDGMENT]","2015-01073","612 F. App'x 614","Nonprecedential","No","","Affirmed",""
15287,"2015-08-14","IN RE: ROTATABLE TECHNOLOGIES, LLC [RULE 36 JUDGMENT]","2015-01213","613 F. App'x 928","Nonprecedential","No","","Affirmed",""
15290,"2015-08-24","PROGRESSIVE CASUALTY v. LIBERTY MUTUAL [OPINION]","2014-01466;2014-01538;2014-01549;2014-01586;2014-01636;2014-01637;2014-01639;2014-01656","625 F. App'x 552","Nonprecedential","No","","Affirmed",""
